id_aluno,nome,cpf,data_nascimento,sexo,id_turma,codigo_segmento,segmento,serie,turno,status,ano_letivo
ALU00019,João Costa Barbosa,000.019.133-00,2021-04-04,M,TURMA001,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00020,Gabriel Silva Santos,000.020.140-00,2022-08-07,F,TURMA002,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00021,João Fernandes Almeida,000.021.147-00,2022-11-06,M,TURMA002,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00022,Gabriel Pereira Costa,000.022.154-00,2020-04-27,M,TURMA002,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00023,Bruno Pereira Carvalho,000.023.161-00,2020-11-14,M,TURMA002,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00024,Isabela Pereira Souza,000.024.168-00,2021-05-01,F,TURMA002,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00025,Mateus Pereira Martins,000.025.175-00,2022-10-13,M,TURMA002,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00026,Mateus Ramos Mendes,000.026.182-00,2021-05-15,F,TURMA002,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00027,Vinicius Souza Ramos,000.027.189-00,2022-07-04,M,TURMA002,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00028,Gabriel Mendes Costa,000.028.196-00,2020-05-08,F,TURMA002,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00029,Eduardo Moreira Moreira,000.029.203-00,2020-11-24,F,TURMA002,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00030,Valentina Moreira Oliveira,000.030.210-00,2020-08-07,M,TURMA002,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00031,Sofia Oliveira Costa,000.031.217-00,2021-08-10,M,TURMA002,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00032,Rafael Moreira Souza,000.032.224-00,2021-07-04,F,TURMA002,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00033,João Oliveira Nascimento,000.033.231-00,2021-09-04,F,TURMA002,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00034,João Pereira Ramos,000.034.238-00,2022-11-06,F,TURMA002,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00035,Vinicius Mendes Silva,000.035.245-00,2020-01-30,F,TURMA002,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00036,Isabela Pereira Martins,000.036.252-00,2021-06-04,M,TURMA002,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00037,Ana Gomes Gomes,000.037.259-00,2022-02-10,F,TURMA002,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00038,Daniel Barbosa Nascimento,000.038.266-00,2020-10-05,M,TURMA002,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00039,Carlos Silva Santos,000.039.273-00,2020-11-14,F,TURMA002,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00040,Helena Dias Costa,000.040.280-00,2021-04-29,F,TURMA002,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00041,Vinicius Carvalho Costa,000.041.287-00,2022-10-30,M,TURMA002,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00042,Lucas Silva Almeida,000.042.294-00,2021-07-30,M,TURMA003,EI,Educação Infantil,Infantil 3,Tarde,Ativo,2026
ALU00043,Miguel Ramos Gomes,000.043.301-00,2022-08-02,M,TURMA003,EI,Educação Infantil,Infantil 3,Tarde,Ativo,2026
ALU00044,Camila Martins Silva,000.044.308-00,2022-11-08,M,TURMA003,EI,Educação Infantil,Infantil 3,Tarde,Ativo,2026
ALU00045,Vinicius Barbosa Carvalho,000.045.315-00,2021-10-22,M,TURMA003,EI,Educação Infantil,Infantil 3,Tarde,Ativo,2026
ALU00046,Mariana Ramos Dias,000.046.322-00,2022-05-29,F,TURMA003,EI,Educação Infantil,Infantil 3,Tarde,Ativo,2026
ALU00047,Camila Pereira Gomes,000.047.329-00,2021-08-26,F,TURMA003,EI,Educação Infantil,Infantil 3,Tarde,Ativo,2026
ALU00048,Eduardo Moreira Fernandes,000.048.336-00,2020-06-02,F,TURMA003,EI,Educação Infantil,Infantil 3,Tarde,Ativo,2026
ALU00049,Carlos Gomes Ramos,000.049.343-00,2021-02-10,M,TURMA003,EI,Educação Infantil,Infantil 3,Tarde,Ativo,2026
ALU00050,Julia Carvalho Almeida,000.050.350-00,2021-10-24,F,TURMA003,EI,Educação Infantil,Infantil 3,Tarde,Ativo,2026
ALU00051,Gabriel Silva Lima,000.051.357-00,2022-06-25,M,TURMA003,EI,Educação Infantil,Infantil 3,Tarde,Ativo,2026
ALU00052,Bruno Mendes Silva,000.052.364-00,2020-02-28,F,TURMA003,EI,Educação Infantil,Infantil 3,Tarde,Ativo,2026
ALU00053,Vinicius Lima Ramos,000.053.371-00,2020-06-29,F,TURMA003,EI,Educação Infantil,Infantil 3,Tarde,Ativo,2026
ALU00054,Daniel Dias Gomes,000.054.378-00,2020-05-11,F,TURMA003,EI,Educação Infantil,Infantil 3,Tarde,Ativo,2026
ALU00055,Julia Martins Souza,000.055.385-00,2020-08-31,M,TURMA003,EI,Educação Infantil,Infantil 3,Tarde,Ativo,2026
ALU00056,Eduardo Gomes Fernandes,000.056.392-00,2021-09-01,F,TURMA003,EI,Educação Infantil,Infantil 3,Tarde,Ativo,2026
ALU00057,Thiago Dias Mendes,000.057.399-00,2020-01-28,M,TURMA003,EI,Educação Infantil,Infantil 3,Tarde,Ativo,2026
ALU00058,Fernanda Martins Rocha,000.058.406-00,2020-01-20,M,TURMA003,EI,Educação Infantil,Infantil 3,Tarde,Ativo,2026
ALU00059,Camila Martins Ramos,000.059.413-00,2022-01-02,F,TURMA003,EI,Educação Infantil,Infantil 3,Tarde,Ativo,2026
ALU00060,Carlos Martins Pereira,000.060.420-00,2022-09-04,M,TURMA004,EI,Educação Infantil,Infantil 1,Manhã,Ativo,2026
ALU00061,Helena Mendes Dias,000.061.427-00,2020-01-27,F,TURMA004,EI,Educação Infantil,Infantil 1,Manhã,Ativo,2026
ALU00062,Helena Pereira Carvalho,000.062.434-00,2022-12-02,F,TURMA004,EI,Educação Infantil,Infantil 1,Manhã,Ativo,2026
ALU00063,Miguel Almeida Almeida,000.063.441-00,2021-04-15,F,TURMA004,EI,Educação Infantil,Infantil 1,Manhã,Ativo,2026
ALU00064,Thiago Moreira Costa,000.064.448-00,2021-09-14,M,TURMA004,EI,Educação Infantil,Infantil 1,Manhã,Ativo,2026
ALU00065,Valentina Moreira Silva,000.065.455-00,2020-11-13,F,TURMA004,EI,Educação Infantil,Infantil 1,Manhã,Ativo,2026
ALU00066,Beatriz Nascimento Souza,000.066.462-00,2020-09-11,M,TURMA004,EI,Educação Infantil,Infantil 1,Manhã,Ativo,2026
ALU00067,Vinicius Pereira Barbosa,000.067.469-00,2020-12-01,M,TURMA004,EI,Educação Infantil,Infantil 1,Manhã,Ativo,2026
ALU00068,João Gomes Silva,000.068.476-00,2021-10-13,M,TURMA004,EI,Educação Infantil,Infantil 1,Manhã,Ativo,2026
ALU00069,Julia Silva Carvalho,000.069.483-00,2020-11-29,F,TURMA004,EI,Educação Infantil,Infantil 1,Manhã,Ativo,2026
ALU00070,Larissa Ramos Barbosa,000.070.490-00,2020-11-04,F,TURMA004,EI,Educação Infantil,Infantil 1,Manhã,Ativo,2026
ALU00071,Mariana Dias Rocha,000.071.497-00,2021-03-04,M,TURMA004,EI,Educação Infantil,Infantil 1,Manhã,Ativo,2026
ALU00072,Carlos Martins Costa,000.072.504-00,2022-08-06,F,TURMA004,EI,Educação Infantil,Infantil 1,Manhã,Ativo,2026
ALU00073,Thiago Gomes Martins,000.073.511-00,2022-08-25,F,TURMA004,EI,Educação Infantil,Infantil 1,Manhã,Ativo,2026
ALU00074,Carlos Barbosa Santos,000.074.518-00,2021-06-30,F,TURMA004,EI,Educação Infantil,Infantil 1,Manhã,Ativo,2026
ALU00075,Julia Dias Gomes,000.075.525-00,2020-11-06,M,TURMA004,EI,Educação Infantil,Infantil 1,Manhã,Ativo,2026
ALU00076,Daniel Mendes Pereira,000.076.532-00,2021-08-06,M,TURMA004,EI,Educação Infantil,Infantil 1,Manhã,Ativo,2026
ALU00077,Miguel Pereira Gomes,000.077.539-00,2022-07-24,M,TURMA004,EI,Educação Infantil,Infantil 1,Manhã,Ativo,2026
ALU00078,João Gomes Silva,000.078.546-00,2020-11-03,M,TURMA004,EI,Educação Infantil,Infantil 1,Manhã,Ativo,2026
ALU00079,Isabela Lima Moreira,000.079.553-00,2020-02-17,F,TURMA005,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00080,Gabriel Fernandes Carvalho,000.080.560-00,2021-04-02,F,TURMA005,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00081,Fernanda Mendes Pereira,000.081.567-00,2021-08-22,F,TURMA005,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00082,Gabriel Mendes Carvalho,000.082.574-00,2020-01-26,M,TURMA005,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00083,Lucas Moreira Carvalho,000.083.581-00,2021-09-27,M,TURMA005,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00084,Isabela Pereira Carvalho,000.084.588-00,2022-12-25,M,TURMA005,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00085,Carlos Barbosa Santos,000.085.595-00,2022-05-08,M,TURMA005,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00086,Rafael Moreira Lima,000.086.602-00,2021-11-12,M,TURMA005,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00087,Ana Mendes Fernandes,000.087.609-00,2020-05-22,M,TURMA005,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00088,Gabriel Ramos Santos,000.088.616-00,2020-02-10,F,TURMA005,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00089,Gabriel Martins Oliveira,000.089.623-00,2022-04-03,M,TURMA005,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00090,Bruno Nascimento Oliveira,000.090.630-00,2020-12-21,F,TURMA005,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00091,Miguel Almeida Carvalho,000.091.637-00,2022-01-10,F,TURMA005,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00092,Thiago Moreira Dias,000.092.644-00,2022-01-12,M,TURMA005,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00093,Beatriz Almeida Souza,000.093.651-00,2022-08-17,F,TURMA005,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00094,Eduardo Dias Rocha,000.094.658-00,2022-04-24,F,TURMA005,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00095,João Ramos Barbosa,000.095.665-00,2022-01-20,M,TURMA005,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00096,Mateus Santos Rocha,000.096.672-00,2021-12-23,F,TURMA005,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00097,Larissa Oliveira Carvalho,000.097.679-00,2022-06-07,M,TURMA005,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00098,Bruno Carvalho Almeida,000.098.686-00,2022-01-16,F,TURMA006,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00099,Mateus Lima Barbosa,000.099.693-00,2022-06-07,F,TURMA006,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00100,Thiago Gomes Almeida,000.100.700-00,2022-06-09,F,TURMA006,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00101,Julia Gomes Ramos,000.101.707-00,2022-08-10,M,TURMA006,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00102,Carlos Moreira Nascimento,000.102.714-00,2022-10-31,F,TURMA006,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00103,Beatriz Carvalho Dias,000.103.721-00,2021-08-15,F,TURMA006,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00104,Mateus Carvalho Dias,000.104.728-00,2020-08-20,M,TURMA006,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00105,Ana Moreira Rocha,000.105.735-00,2020-03-31,F,TURMA006,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00106,Eduardo Santos Carvalho,000.106.742-00,2020-04-09,F,TURMA006,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00107,Mariana Barbosa Dias,000.107.749-00,2021-12-18,F,TURMA006,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00108,Mateus Pereira Costa,000.108.756-00,2021-10-14,F,TURMA006,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00109,Camila Souza Costa,000.109.763-00,2021-09-09,F,TURMA006,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00110,Valentina Oliveira Rocha,000.110.770-00,2021-06-11,M,TURMA006,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00111,Miguel Moreira Barbosa,000.111.777-00,2021-07-23,F,TURMA006,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00112,Isabela Costa Oliveira,000.112.784-00,2021-08-02,F,TURMA006,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00113,Isabela Souza Ramos,000.113.791-00,2022-05-12,F,TURMA006,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00114,Camila Martins Costa,000.114.798-00,2021-12-18,F,TURMA006,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00115,Julia Martins Lima,000.115.805-00,2020-07-29,M,TURMA006,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00116,Camila Santos Fernandes,000.116.812-00,2020-01-15,F,TURMA006,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00117,Vinicius Dias Mendes,000.117.819-00,2022-11-21,F,TURMA007,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00118,Ana Mendes Dias,000.118.826-00,2021-03-26,F,TURMA007,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00119,Lucas Almeida Nascimento,000.119.833-00,2022-07-16,F,TURMA007,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00120,Thiago Costa Silva,000.120.840-00,2020-10-30,M,TURMA007,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00121,Ana Mendes Costa,000.121.847-00,2021-03-04,M,TURMA007,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00122,Miguel Barbosa Costa,000.122.854-00,2022-04-30,F,TURMA007,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00123,Isabela Fernandes Oliveira,000.123.861-00,2020-07-07,M,TURMA007,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00124,Eduardo Rocha Santos,000.124.868-00,2022-08-29,M,TURMA007,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00125,Vinicius Barbosa Santos,000.125.875-00,2022-02-19,M,TURMA007,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00126,Thiago Costa Fernandes,000.126.882-00,2022-04-09,M,TURMA007,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00127,Julia Barbosa Ramos,000.127.889-00,2022-01-12,F,TURMA007,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00128,Camila Gomes Silva,000.128.896-00,2021-12-21,M,TURMA007,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00129,Sofia Moreira Gomes,000.129.903-00,2021-04-25,F,TURMA007,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00130,Mariana Mendes Oliveira,000.130.910-00,2021-06-15,F,TURMA007,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00131,Bruno Gomes Nascimento,000.131.917-00,2022-01-28,F,TURMA007,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00132,Larissa Gomes Rocha,000.132.924-00,2022-09-01,F,TURMA007,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00133,Thiago Costa Fernandes,000.133.931-00,2021-04-27,F,TURMA007,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00134,Thiago Nascimento Carvalho,000.134.938-00,2021-06-24,M,TURMA007,EI,Educação Infantil,Infantil 3,Manhã,Ativo,2026
ALU00135,Miguel Pereira Silva,000.135.945-00,2022-02-24,M,TURMA008,EI,Educação Infantil,Infantil 1,Manhã,Ativo,2026
ALU00136,Gabriel Gomes Costa,000.136.952-00,2021-02-10,F,TURMA008,EI,Educação Infantil,Infantil 1,Manhã,Ativo,2026
ALU00137,Eduardo Almeida Dias,000.137.959-00,2022-06-30,F,TURMA008,EI,Educação Infantil,Infantil 1,Manhã,Ativo,2026
ALU00138,Daniel Costa Nascimento,000.138.966-00,2022-01-02,M,TURMA008,EI,Educação Infantil,Infantil 1,Manhã,Ativo,2026
ALU00139,Vinicius Costa Carvalho,000.139.973-00,2021-10-01,F,TURMA008,EI,Educação Infantil,Infantil 1,Manhã,Ativo,2026
ALU00140,Sofia Martins Costa,000.140.980-00,2020-04-20,M,TURMA008,EI,Educação Infantil,Infantil 1,Manhã,Ativo,2026
ALU00141,Carlos Souza Almeida,000.141.987-00,2020-03-11,F,TURMA008,EI,Educação Infantil,Infantil 1,Manhã,Ativo,2026
ALU00142,Mateus Oliveira Carvalho,000.142.994-00,2022-07-12,F,TURMA008,EI,Educação Infantil,Infantil 1,Manhã,Ativo,2026
ALU00143,Carlos Dias Fernandes,000.143.001-00,2022-04-22,M,TURMA008,EI,Educação Infantil,Infantil 1,Manhã,Ativo,2026
ALU00144,Eduardo Rocha Silva,000.144.008-00,2021-09-07,M,TURMA008,EI,Educação Infantil,Infantil 1,Manhã,Ativo,2026
ALU00145,Beatriz Mendes Almeida,000.145.015-00,2021-06-07,F,TURMA008,EI,Educação Infantil,Infantil 1,Manhã,Ativo,2026
ALU00146,Helena Oliveira Santos,000.146.022-00,2020-06-17,M,TURMA008,EI,Educação Infantil,Infantil 1,Manhã,Ativo,2026
ALU00147,Valentina Dias Martins,000.147.029-00,2022-08-18,M,TURMA008,EI,Educação Infantil,Infantil 1,Manhã,Ativo,2026
ALU00148,Gabriel Carvalho Fernandes,000.148.036-00,2020-11-19,M,TURMA008,EI,Educação Infantil,Infantil 1,Manhã,Ativo,2026
ALU00149,Helena Martins Ramos,000.149.043-00,2021-07-26,F,TURMA008,EI,Educação Infantil,Infantil 1,Manhã,Ativo,2026
ALU00150,Gabriel Ramos Carvalho,000.150.050-00,2022-11-11,F,TURMA008,EI,Educação Infantil,Infantil 1,Manhã,Ativo,2026
ALU00151,Julia Barbosa Nascimento,000.151.057-00,2021-01-12,M,TURMA008,EI,Educação Infantil,Infantil 1,Manhã,Ativo,2026
ALU00152,Rafael Oliveira Nascimento,000.152.064-00,2021-01-07,M,TURMA008,EI,Educação Infantil,Infantil 1,Manhã,Ativo,2026
ALU00153,Larissa Martins Lima,000.153.071-00,2022-04-16,M,TURMA009,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00154,Valentina Fernandes Oliveira,000.154.078-00,2020-09-06,M,TURMA009,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00155,Carlos Almeida Oliveira,000.155.085-00,2021-05-12,M,TURMA009,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00156,Julia Mendes Barbosa,000.156.092-00,2022-08-25,F,TURMA009,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00157,Ana Moreira Pereira,000.157.099-00,2020-05-07,F,TURMA009,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00158,Larissa Oliveira Almeida,000.158.106-00,2021-06-24,M,TURMA009,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00159,Mateus Souza Oliveira,000.159.113-00,2021-02-11,M,TURMA009,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00160,Helena Silva Barbosa,000.160.120-00,2021-10-16,F,TURMA009,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00161,Beatriz Lima Souza,000.161.127-00,2021-03-30,F,TURMA009,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00162,Beatriz Souza Silva,000.162.134-00,2021-07-30,M,TURMA009,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00163,Fernanda Rocha Carvalho,000.163.141-00,2022-01-05,F,TURMA009,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00164,Rafael Santos Rocha,000.164.148-00,2021-12-10,F,TURMA009,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00165,Ana Fernandes Santos,000.165.155-00,2022-03-28,F,TURMA009,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00166,Mariana Almeida Carvalho,000.166.162-00,2020-08-07,F,TURMA009,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00167,Sofia Santos Martins,000.167.169-00,2021-04-07,M,TURMA009,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00168,Mateus Dias Barbosa,000.168.176-00,2020-07-15,F,TURMA009,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00169,Gabriel Martins Gomes,000.169.183-00,2022-08-29,M,TURMA009,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00170,Gabriel Pereira Oliveira,000.170.190-00,2021-04-19,F,TURMA009,EI,Educação Infantil,Infantil 1,Tarde,Ativo,2026
ALU00171,Carlos Pereira Rocha,000.171.197-00,2021-08-19,F,TURMA010,EI,Educação Infantil,Infantil 2,Manhã,Ativo,2026
ALU00172,Bruno Mendes Carvalho,000.172.204-00,2020-07-11,F,TURMA010,EI,Educação Infantil,Infantil 2,Manhã,Ativo,2026
ALU00173,Helena Mendes Ramos,000.173.211-00,2020-11-07,M,TURMA010,EI,Educação Infantil,Infantil 2,Manhã,Ativo,2026
ALU00174,Lucas Dias Nascimento,000.174.218-00,2022-02-03,F,TURMA010,EI,Educação Infantil,Infantil 2,Manhã,Ativo,2026
ALU00175,Eduardo Gomes Fernandes,000.175.225-00,2022-03-08,M,TURMA010,EI,Educação Infantil,Infantil 2,Manhã,Ativo,2026
ALU00176,Vinicius Oliveira Santos,000.176.232-00,2021-10-31,F,TURMA010,EI,Educação Infantil,Infantil 2,Manhã,Ativo,2026
ALU00177,Daniel Ramos Carvalho,000.177.239-00,2022-09-28,F,TURMA010,EI,Educação Infantil,Infantil 2,Manhã,Ativo,2026
ALU00178,Carlos Fernandes Souza,000.178.246-00,2021-09-09,F,TURMA010,EI,Educação Infantil,Infantil 2,Manhã,Ativo,2026
ALU00179,João Almeida Dias,000.179.253-00,2020-11-15,M,TURMA010,EI,Educação Infantil,Infantil 2,Manhã,Ativo,2026
ALU00180,Camila Fernandes Barbosa,000.180.260-00,2021-06-01,F,TURMA010,EI,Educação Infantil,Infantil 2,Manhã,Ativo,2026
ALU00181,Isabela Oliveira Moreira,000.181.267-00,2021-10-20,F,TURMA010,EI,Educação Infantil,Infantil 2,Manhã,Ativo,2026
ALU00182,Mariana Costa Rocha,000.182.274-00,2020-07-27,F,TURMA010,EI,Educação Infantil,Infantil 2,Manhã,Ativo,2026
ALU00183,Helena Moreira Dias,000.183.281-00,2021-01-19,M,TURMA010,EI,Educação Infantil,Infantil 2,Manhã,Ativo,2026
ALU00184,Gabriel Moreira Almeida,000.184.288-00,2022-02-10,M,TURMA010,EI,Educação Infantil,Infantil 2,Manhã,Ativo,2026
ALU00185,João Mendes Pereira,000.185.295-00,2022-10-22,M,TURMA010,EI,Educação Infantil,Infantil 2,Manhã,Ativo,2026
ALU00186,João Silva Mendes,000.186.302-00,2021-01-25,F,TURMA010,EI,Educação Infantil,Infantil 2,Manhã,Ativo,2026
ALU00187,Lucas Martins Santos,000.187.309-00,2021-03-02,M,TURMA010,EI,Educação Infantil,Infantil 2,Manhã,Ativo,2026
ALU00188,Miguel Costa Almeida,000.188.316-00,2022-04-18,F,TURMA010,EI,Educação Infantil,Infantil 2,Manhã,Ativo,2026
ALU00189,Bruno Nascimento Pereira,000.189.323-00,2022-05-14,F,TURMA010,EI,Educação Infantil,Infantil 2,Manhã,Ativo,2026
ALU00190,Miguel Gomes Ramos,000.190.330-00,2020-02-08,M,TURMA010,EI,Educação Infantil,Infantil 2,Manhã,Ativo,2026
ALU00191,Thiago Pereira Carvalho,000.191.337-00,2022-02-07,F,TURMA010,EI,Educação Infantil,Infantil 2,Manhã,Ativo,2026
